EstablecimientoCodigoAntiguo;EstablecimientoCodigo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;EstablecimientoGlosa;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion;FechaCierre
26-911;200710;;;12;Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Mental;Establecimiento de Salud;Complejo Miraflores (Salud Mental);No Aplica;Servicio de Salud;Secundario;12101;Punta Arenas;Calle;825;Las Heras;611739;;NO;No Aplica;No Aplica;;;Público;Cerrado;Mediana Complejidad;Atención Abierta-Ambulatoria;;12-06-2025
26-910;200709;;;12;Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;Centro Diurno (pertenece a SENAMA);No Aplica;Servicio de Salud;Primario;12101;Punta Arenas;Avenida;862;Eduardo Frei Montalva;;;NO;No Aplica;No Aplica;;;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;23-01-2025
26-909;200708;;;12;Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;UMAG (pertenece a la Facultad de Ciencias de la Salud);No Aplica;Servicio de Salud;No Aplica;12101;Punta Arenas;Avenida;1855;Pdte. Manuel Bulnes;;;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;23-01-2025
33-901;200316;;;10;Los Lagos;10;SEREMI de Salud de Los Lagos;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Austral;No Aplica;Privado;No Aplica;10201;Castro;Calle;458;Serrano, Oficina 28;;18-12-2012;NO;No Aplica;No Aplica;-42.481135;-73.762228;Privado;Cerrado;No Aplica;No Aplica;;07-11-2025
33-913;200734;33-350;133350;10;Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Dalcahue;No Aplica;Municipal;Primario;10205;Dalcahue;Calle;315;Ramón Freire;;;SI;Urgencia Ambulatoria (SUR);No Aplica;-42.37922;-73.65206;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;30-12-2025
23-423;123423;;;10;Los Lagos;23;Servicio de Salud Osorno;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cascadas;No Aplica;Municipal;Primario;10302;Puerto Octay;Otro;;Pueblo de Cascadas;;;NO;No Aplica;No Aplica;-41.082404;-72.636287;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;
23-207;123207;23-010;123010;10;Los Lagos;23;Servicio de Salud Osorno;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Rehabilitación;Establecimiento de Salud;Centro de Rehabilitación de Minusválidos;No Aplica;Otra Institución;Secundario;10303;Purranque;Calle;;Santo Domingo;642352498;;NO;No Aplica;No Aplica;-40.915925;-73.152809;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;27-03-2026
22-215;122215;;;14;Los Ríos;14;SEREMI de Salud de Los Ríos;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica del Trabajador AChS;No Aplica;Privado;No Aplica;14201;La Unión;Calle;260;Comercio;642322875;01-01-2009;NO;No Aplica;No Aplica;-40.296381;-73.084198;Privado;Cerrado;;Atención Abierta-Ambulatoria;;16-06-2025
22-900;200163;22-305;122305;14;Los Ríos;22;Servicio de Salud Los Rios;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Belarmina Paredes;No Aplica;Municipal;Primario;14202;Futrono;Calle;305;German Riesco;632481079;;SI;Urgencia Ambulatoria (SAPU);Corto;-40.125493;-72.382859;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;11-03-2026
21-273;121273;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico del Lago;No Aplica;Privado;No Aplica;09120;Villarrica;Calle;280;Camilo Henríquez;452413914;01-01-2009;NO;No Aplica;No Aplica;-39.280226;-72.224975;Privado;Cerrado;No Aplica;No Aplica;;11-03-2026
