Mes;IdServicio;Ano;IdEstablecimiento;CodigoPrestacion;IdRegion;IdComuna;Col01;Col02;Col03;Col04;Col05;Col06;Col07;Col08;Col09;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col48;Col49;Col50
11;20;2025;120711;01110107;8;8301;3;;;;;2;1;;;;;;;;;;;;;3;2;1;;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;
11;24;2025;124705;05225100;10;10101;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;26;2025;126301;05225100;12;12101;10;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;26;2025;126302;01110107;12;12101;11;;;;;;3;5;3;;;;;;;;;;;11;7;7;;0;0;3;3;0;0;;0;;;;;;;;;;;;;;;;;;;
7;26;2025;126302;01110107;12;12101;13;;;;3;;3;3;3;1;;;;;;;;;;13;11;11;;0;0;4;5;0;0;;0;;;;;;;;;;;;;;;;;;;
11;13;2025;113324;05225100;13;13105;4;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;26;2025;126700;01110107;12;12101;2;;;;;;1;;1;;;;;;;;;;;2;1;1;;0;0;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;
4;26;2025;126305;01110107;12;12401;14;;;;1;2;6;1;2;2;;;;;;;;;;14;12;11;;0;0;2;3;0;0;;0;;;;;;;;;;;;;;;;;;;
6;26;2025;126700;01110107;12;12101;5;;;;;1;1;3;;;;;;;;;;;;5;5;5;;0;0;1;1;0;0;;0;;;;;;;;;;;;;;;;;;;
6;13;2025;113324;05225100;13;13105;13;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;13;2025;113324;01110107;13;13105;9;;;0;0;2;3;3;1;0;0;0;;;;;;;;9;3;4;;0;0;0;2;0;0;;0;;;;;;;;;;;;;;;;;;;
6;21;2025;121780;05225100;9;9101;4;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;22;2025;122702;05225100;14;14101;3;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;6;2025;106301;01110107;5;5101;1;;;0;0;0;1;0;0;0;0;0;;;;;;;;1;0;0;;0;0;0;1;0;0;;0;;;;;;;;;;;;;;;;;;;
6;12;2025;112107;05225100;5;5201;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;12;2025;112107;05225100;5;5201;7;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;7;2025;107305;05225100;5;5103;26;14;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
