Mes;IdServicio;Ano;IdEstablecimiento;CodigoPrestacion;IdRegion;IdComuna;Col01;Col02;Col03;Col04;Col05;Col06;Col07;Col08;Col09;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col48;Col49;Col50
5;5;2026;105101;01030100;4;4102;65;0;2;54;9;0;0;2;4;65;57;16;0;0;23;30;56;2;61;1;0;60;;0;4;16;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;5;2026;105101;29101714;4;4102;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;5;2026;105101;01030300;4;4102;34;0;0;27;7;0;0;0;0;34;34;0;0;0;0;0;32;0;8;1;25;32;;0;3;6;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;5;2026;105101;24090700;4;4102;65;0;3;52;10;0;0;0;7;65;64;7;0;1;0;7;53;0;12;4;45;56;;0;3;7;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;5;2026;105101;29101716;4;4102;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;5;2026;105101;29101728;4;4102;63;0;14;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;2026;105101;29101729;4;4102;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;2026;105101;29101742;4;4102;32;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;5;2026;105101;01030100;4;4102;64;0;3;51;10;0;0;0;6;64;61;17;0;0;22;35;57;0;63;0;1;57;61;0;2;10;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;5;2026;105101;01030300;4;4102;41;0;0;28;13;0;0;0;0;41;41;0;0;0;0;;39;0;11;0;30;35;41;0;6;5;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;5;2026;105101;24090700;4;4102;70;0;2;48;20;0;0;0;8;70;70;10;0;3;0;17;59;1;14;1;51;59;64;0;6;7;1;0;0;1;;;;;;;;;;;;;;;;;;;;
1;5;2026;105101;29101742;4;4102;33;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;2026;105101;01030100;4;4102;48;0;3;36;9;0;0;0;4;48;33;12;0;0;23;22;42;0;43;0;2;44;44;0;3;13;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;5;2026;105101;01030300;4;4102;38;0;1;26;11;0;0;0;0;38;32;0;0;1;0;0;31;0;6;0;31;32;37;0;4;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;5;2026;105101;24090700;4;4102;50;0;1;40;9;0;1;1;7;50;44;5;0;1;0;11;43;0;9;1;35;48;43;0;0;10;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;5;2026;105101;29101728;4;4102;48;0;7;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;5;2026;105101;29101728;4;4102;61;0;8;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;5;2026;105101;29101729;4;4102;2;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;5;2026;105101;29101742;4;4102;44;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;5;2026;105101;01030100;4;4102;64;0;7;48;9;0;0;0;5;65;57;11;0;0;27;31;61;0;60;0;3;59;62;0;2;11;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;5;2026;105101;29101714;4;4102;2;0;0;2;0;0;0;0;0;2;2;1;0;0;1;1;2;1;1;0;43;2;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;5;2026;105101;01030300;4;4102;44;0;0;27;17;0;0;0;1;44;43;0;0;1;0;0;39;0;5;1;37;39;42;0;3;6;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;5;2026;105101;24090700;4;4102;56;2;4;40;10;0;0;0;11;56;55;5;0;1;0;10;52;2;5;4;;37;45;0;2;5;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;5;2026;105101;29101715;4;4102;1;;;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;5;2026;105101;29101728;4;4102;147;0;26;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;5;2026;105101;29101729;4;4102;24;0;4;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;5;2026;105101;01030100;4;4102;70;1;5;57;7;0;1;0;3;70;59;10;0;0;32;38;65;1;64;0;4;65;;0;19;7;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;5;2026;105101;01030300;4;4102;46;0;0;27;19;0;0;0;5;46;44;0;0;0;0;0;41;0;5;1;39;42;;0;9;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;5;2026;105101;24090700;4;4102;53;0;0;40;13;0;0;0;8;53;49;6;0;5;0;14;44;1;6;5;39;43;;0;8;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;5;2026;105101;29101728;4;4102;68;1;10;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;5;2026;105101;29101729;4;4102;2;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;5;2026;105101;29101742;4;4102;46;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;5;2026;105101;29101715;4;4102;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
3;5;2026;105101;29101728;4;4102;70;0;11;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
