Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Mes;Numerador;Denominador;PorcentajeCumplimiento
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;1;12;4;300.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;2;10;6;166.67
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;3;0;2;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;4;6;11;54.55
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;5;11;11;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;6;6;10;60.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;7;2;9;22.22
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;8;0;7;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;9;8;6;133.33
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;10;6;4;150.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;11;12;10;120.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;12;6;7;85.71
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;1;0;2;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;2;0;3;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;3;0;3;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;4;0;3;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;5;0;4;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;6;0;3;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;7;0;6;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;8;0;7;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;9;0;2;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;10;0;4;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;11;0;6;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;12;0;4;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;1;13;22;59.09
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;2;8;21;38.1
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;3;7;35;20.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;4;16;36;44.44
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;5;14;26;53.85
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;6;8;37;21.62
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;7;27;25;108.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;8;30;34;88.24
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;9;30;24;125.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;10;18;30;60.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;11;30;37;81.08
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;12;15;26;57.69
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;1;0;40;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;2;0;41;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;3;11;28;39.29
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;4;41;31;132.26
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;5;20;32;62.5
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;6;19;32;59.38
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;7;0;30;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;8;0;30;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;9;3;24;12.5
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;10;7;28;25.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;11;23;30;76.67
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;12;4;27;14.81
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;1;22;37;59.46
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;2;0;24;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;3;0;39;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;4;0;41;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;5;0;42;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;6;0;31;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;7;0;46;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;8;0;55;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;9;0;43;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;10;0;57;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;11;0;34;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;12;0;38;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;1;11;29;37.93
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;2;11;17;64.71
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;3;8;25;32.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;4;17;36;47.22
