Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Numerador;Denominador;PorcentajeCumplimiento
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;35;50;70.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;31;34;91.18
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;186;207;89.86
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;148;218;67.89
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;213;244;87.3
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;168;191;87.96
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;200216;173;264;65.53
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;103304;141;141;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;103300;160;228;70.18
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;200450;135;135;100.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;103707;42;46;91.3
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;24;34;70.59
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;40;49;81.63
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;295;348;84.77
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;246;366;67.21
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;132;224;58.93
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;99;110;90.0
Antofagasta;Servicio de Salud Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;103309;9;26;34.62
Antofagasta;Servicio de Salud Antofagasta;Mejillones;Hospital de Mejillones;103104;106;139;76.26
Antofagasta;Servicio de Salud Antofagasta;San Pedro de Atacama;Centro de Salud Familiar San Pedro Atacama;103311;86;96;89.58
Antofagasta;Servicio de Salud Antofagasta;San Pedro de Atacama;Posta de Salud Rural Toconao;103403;4;8;50.0
Antofagasta;Servicio de Salud Antofagasta;Sierra Gorda;Posta de Salud Rural Baquedano;103400;4;12;33.33
Antofagasta;Servicio de Salud Antofagasta;Sierra Gorda;Posta de Salud Rural Sierra Gorda;103401;1;3;33.33
Antofagasta;Servicio de Salud Antofagasta;Taltal;Hospital 21 de Mayo (Taltal);103103;60;77;77.92
Antofagasta;Servicio de Salud Antofagasta;Tocopilla;Hospital Dr. Marcos Macuada (Tocopilla);103102;66;134;49.25
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Centro Comunitario de Salud Familiar Cerro La Cruz;101704;13;13;100.0
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Centro Comunitario de Salud Familiar Dr. Miguel Massa Sassi;101702;4;34;11.76
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Centro Comunitario de Salud Familiar Dr. René García Valenzuela;101703;40;71;56.34
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Centro de Salud Familiar Dr. Amador Neghme de Arica;101302;161;206;78.16
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Centro de Salud Familiar E.U. Iris Veliz Hume (Ex Oriente);101303;169;313;53.99
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte);101307;51;310;16.45
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Centro de Salud Familiar Matrona Rosa Vascopé Zarzola;200866;165;206;80.1
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Centro de Salud Familiar Remigio Sapunar Marín;101305;105;224;46.88
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Centro de Salud Familiar Víctor Bertín Soto;101300;98;207;47.34
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Posta de Salud Rural Poconchile;101401;4;17;23.53
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Posta de Salud Rural San Miguel de Azapa;101400;45;125;36.0
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Posta de Salud Rural Sobraya;101408;4;45;8.89
Arica Parinacota;Servicio de Salud Arica y Parinacota;Camarones;Posta de Salud Rural Codpa;101406;1;2;50.0
Arica Parinacota;Servicio de Salud Arica y Parinacota;General Lagos;Posta de Salud Rural Visviri;101404;3;5;60.0
Arica Parinacota;Servicio de Salud Arica y Parinacota;Putre;Centro de Salud Familiar Putre;101304;5;13;38.46
Atacama;Servicio de Salud Atacama;Alto del Carmen;Centro de Salud Familiar Alto del Carmen;104322;2;12;16.67
Atacama;Servicio de Salud Atacama;Caldera;Centro Comunitario de Salud Familiar Orfelia Lavín;104701;17;25;68.0
Atacama;Servicio de Salud Atacama;Caldera;Centro de Salud Familiar Rosario Corvalán;104301;51;94;54.26
Atacama;Servicio de Salud Atacama;Chañaral;Centro de Salud Familiar Dr. Luis Herrera;104309;72;59;122.03
Atacama;Servicio de Salud Atacama;Chañaral;Posta de Salud Rural El Salado de Chañaral;104401;0;2;0.0
Atacama;Servicio de Salud Atacama;Copiapó;Centro de Salud Familiar Candelaria Rosario;104305;31;59;52.54
Atacama;Servicio de Salud Atacama;Copiapó;Centro de Salud Familiar Dr. Bernardo Mellibovsky;104321;139;148;93.92
Atacama;Servicio de Salud Atacama;Copiapó;Centro de Salud Familiar Juan Martínez;104302;61;103;59.22
Atacama;Servicio de Salud Atacama;Copiapó;Centro de Salud Familiar Manuel Rodríguez;104306;89;96;92.71
Atacama;Servicio de Salud Atacama;Copiapó;Centro de Salud Familiar Paipote;104307;81;147;55.1
Atacama;Servicio de Salud Atacama;Copiapó;Centro de Salud Familiar Pedro León Gallo;104303;137;215;63.72
Atacama;Servicio de Salud Atacama;Copiapó;Centro de Salud Familiar Rosario-Palomar;104304;24;120;20.0
Atacama;Servicio de Salud Atacama;Copiapó;Centro de Salud Familiar Santa Elvira;104300;62;98;63.27
Atacama;Servicio de Salud Atacama;Diego de Almagro;Centro de Salud Familiar El Salvador;104311;8;2;400.0
Atacama;Servicio de Salud Atacama;Diego de Almagro;Hospital Dr. Florencio Vargas (Diego de Almagro);104102;39;55;70.91
Atacama;Servicio de Salud Atacama;Freirina;Centro de Salud Familiar Freirina;104314;28;46;60.87
Atacama;Servicio de Salud Atacama;Freirina;Posta de Salud Rural Carrizalillo (Freirina);104409;0;1;0.0
Atacama;Servicio de Salud Atacama;Huasco;Centro de Salud Familiar Juan Verdaguer;104319;2;28;7.14
Atacama;Servicio de Salud Atacama;Huasco;Hospital Dr. Manuel Magalhaes Medling (Huasco);104104;10;31;32.26
Atacama;Servicio de Salud Atacama;Huasco;Posta de Salud Rural Jeremías Cortés;104416;0;5;0.0
Atacama;Servicio de Salud Atacama;Huasco;Posta de Salud Rural Padre Mariano Avellana Lasierra;104415;1;1;100.0
Atacama;Servicio de Salud Atacama;Huasco;Posta de Salud Rural Segundo Ponce;104413;1;0;
Atacama;Servicio de Salud Atacama;Tierra Amarilla;Centro de Salud Familiar Dr. Salvador Allende Gossens;104308;51;64;79.69
Atacama;Servicio de Salud Atacama;Tierra Amarilla;Posta de Salud Rural Los Loros;104400;10;12;83.33
Atacama;Servicio de Salud Atacama;Vallenar;Centro de Salud Familiar Baquedano;104316;33;52;63.46
Atacama;Servicio de Salud Atacama;Vallenar;Centro de Salud Familiar Estación;104313;64;98;65.31
Atacama;Servicio de Salud Atacama;Vallenar;Centro de Salud Familiar Hermanos Carrera;104315;33;42;78.57
Atacama;Servicio de Salud Atacama;Vallenar;Centro de Salud Familiar Joan Crawford Astudillo;104317;83;142;58.45
