Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Mes;Numerador;Denominador;PorcentajeCumplimiento
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;1;4;4;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;2;1;1;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;3;2;3;66.67
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;4;2;5;40.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;5;4;5;80.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;6;5;10;50.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;7;4;5;80.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;8;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;9;1;2;50.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;10;4;5;80.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;11;2;3;66.67
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;12;4;5;80.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;1;3;4;75.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;2;3;3;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;3;4;5;80.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;4;1;1;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;5;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;6;3;3;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;7;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;8;4;5;80.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;9;4;4;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;10;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;12;3;3;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;1;18;19;94.74
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;2;15;18;83.33
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;3;16;16;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;4;11;13;84.62
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;5;11;16;68.75
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;6;19;19;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;7;14;15;93.33
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;8;17;19;89.47
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;9;11;11;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;10;24;28;85.71
