Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Mes;Numerador;Denominador;PorcentajeCumplimiento
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;1;117;206;56.8
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;2;91;175;52.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;3;109;211;51.66
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;4;108;198;54.55
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;5;132;235;56.17
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;6;100;209;47.85
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;7;94;197;47.72
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;8;100;196;51.02
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;9;12;212;5.66
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;10;108;211;51.18
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;11;102;214;47.66
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;12;83;186;44.62
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;1;75;141;53.19
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;2;74;140;52.86
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;3;89;148;60.14
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;4;82;150;54.67
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;5;81;143;56.64
