Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Mes;Numerador;Denominador;PorcentajeCumplimiento
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;1;105;206;50.97
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;2;102;188;54.26
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;3;78;209;37.32
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;4;95;207;45.89
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;5;90;184;48.91
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);103100;6;101;195;51.79
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;1;105;128;82.03
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;2;95;117;81.2
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;3;126;155;81.29
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;4;120;147;81.63
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;5;104;146;71.23
Antofagasta;Servicio de Salud Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);103101;6;102;142;71.83
Antofagasta;Servicio de Salud Antofagasta;Mejillones;Hospital de Mejillones;103104;2;2;1;200.0
Antofagasta;Servicio de Salud Antofagasta;Mejillones;Hospital de Mejillones;103104;3;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Mejillones;Hospital de Mejillones;103104;6;1;4;25.0
Antofagasta;Servicio de Salud Antofagasta;San Pedro de Atacama;Centro de Salud Familiar San Pedro Atacama;103311;6;0;4;0.0
Antofagasta;Servicio de Salud Antofagasta;Taltal;Hospital 21 de Mayo (Taltal);103103;2;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Taltal;Hospital 21 de Mayo (Taltal);103103;3;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Taltal;Hospital 21 de Mayo (Taltal);103103;5;1;1;100.0
Antofagasta;Servicio de Salud Antofagasta;Taltal;Hospital 21 de Mayo (Taltal);103103;6;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Tocopilla;Hospital Dr. Marcos Macuada (Tocopilla);103102;1;4;3;133.33
Antofagasta;Servicio de Salud Antofagasta;Tocopilla;Hospital Dr. Marcos Macuada (Tocopilla);103102;2;1;1;100.0
Antofagasta;Servicio de Salud Antofagasta;Tocopilla;Hospital Dr. Marcos Macuada (Tocopilla);103102;3;4;4;100.0
Antofagasta;Servicio de Salud Antofagasta;Tocopilla;Hospital Dr. Marcos Macuada (Tocopilla);103102;4;3;6;50.0
Antofagasta;Servicio de Salud Antofagasta;Tocopilla;Hospital Dr. Marcos Macuada (Tocopilla);103102;5;3;3;100.0
Antofagasta;Servicio de Salud Antofagasta;Tocopilla;Hospital Dr. Marcos Macuada (Tocopilla);103102;6;3;3;100.0
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Hospital Regional Dr. Juan Noé Crevani (Arica);101100;1;157;158;99.37
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Hospital Regional Dr. Juan Noé Crevani (Arica);101100;2;113;118;95.76
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Hospital Regional Dr. Juan Noé Crevani (Arica);101100;3;165;174;94.83
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Hospital Regional Dr. Juan Noé Crevani (Arica);101100;4;188;195;96.41
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Hospital Regional Dr. Juan Noé Crevani (Arica);101100;5;138;140;98.57
Arica Parinacota;Servicio de Salud Arica y Parinacota;Arica;Hospital Regional Dr. Juan Noé Crevani (Arica);101100;6;150;152;98.68
Atacama;Servicio de Salud Atacama;Chañaral;Hospital Dr. Jerónimo Méndez Arancibia (Chañaral);104101;2;1;0;
Atacama;Servicio de Salud Atacama;Chañaral;Hospital Dr. Jerónimo Méndez Arancibia (Chañaral);104101;5;2;1;200.0
Atacama;Servicio de Salud Atacama;Chañaral;Hospital Dr. Jerónimo Méndez Arancibia (Chañaral);104101;6;1;1;100.0
Atacama;Servicio de Salud Atacama;Copiapó;Hospital San José del Carmen (Copiapó);104100;1;115;123;93.5
Atacama;Servicio de Salud Atacama;Copiapó;Hospital San José del Carmen (Copiapó);104100;2;109;118;92.37
Atacama;Servicio de Salud Atacama;Copiapó;Hospital San José del Carmen (Copiapó);104100;3;91;109;83.49
Atacama;Servicio de Salud Atacama;Copiapó;Hospital San José del Carmen (Copiapó);104100;4;89;111;80.18
Atacama;Servicio de Salud Atacama;Copiapó;Hospital San José del Carmen (Copiapó);104100;5;104;114;91.23
Atacama;Servicio de Salud Atacama;Copiapó;Hospital San José del Carmen (Copiapó);104100;6;101;110;91.82
Atacama;Servicio de Salud Atacama;Vallenar;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar);104103;1;47;47;100.0
Atacama;Servicio de Salud Atacama;Vallenar;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar);104103;2;37;38;97.37
Atacama;Servicio de Salud Atacama;Vallenar;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar);104103;3;49;48;102.08
Atacama;Servicio de Salud Atacama;Vallenar;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar);104103;4;47;51;92.16
Atacama;Servicio de Salud Atacama;Vallenar;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar);104103;5;62;51;121.57
Atacama;Servicio de Salud Atacama;Vallenar;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar);104103;6;39;42;92.86
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Aisén;Hospital de Puerto Aysén;125101;1;3;4;75.0
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Aisén;Hospital de Puerto Aysén;125101;2;4;4;100.0
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Aisén;Hospital de Puerto Aysén;125101;3;1;2;50.0
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Aisén;Hospital de Puerto Aysén;125101;4;1;1;100.0
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Aisén;Hospital de Puerto Aysén;125101;5;2;5;40.0
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Aisén;Hospital de Puerto Aysén;125101;6;4;2;200.0
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Chile Chico;Hospital Dr. Leopoldo Ortega Rodríguez (Chile Chico);125102;1;1;0;
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Cochrane;Hospital Lord Cochrane;125103;1;1;2;50.0
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Cochrane;Hospital Lord Cochrane;125103;4;2;0;
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Coyhaique;Hospital Regional de Coyhaique;125100;1;39;88;44.32
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Coyhaique;Hospital Regional de Coyhaique;125100;2;47;49;95.92
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Coyhaique;Hospital Regional de Coyhaique;125100;3;27;69;39.13
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Coyhaique;Hospital Regional de Coyhaique;125100;4;20;47;42.55
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Coyhaique;Hospital Regional de Coyhaique;125100;5;51;55;92.73
Aysén del General Carlos Ibañez del Campo;Servicio de Salud Aysén;Coyhaique;Hospital Regional de Coyhaique;125100;6;52;54;96.3
Biobío;Servicio de Salud Arauco;Cañete;Hospital Intercultural Kallvu Llanka (Cañete);128111;1;6;3;200.0
Biobío;Servicio de Salud Arauco;Cañete;Hospital Intercultural Kallvu Llanka (Cañete);128111;2;13;10;130.0
Biobío;Servicio de Salud Arauco;Cañete;Hospital Intercultural Kallvu Llanka (Cañete);128111;3;7;8;87.5
Biobío;Servicio de Salud Arauco;Cañete;Hospital Intercultural Kallvu Llanka (Cañete);128111;4;5;8;62.5
Biobío;Servicio de Salud Arauco;Cañete;Hospital Intercultural Kallvu Llanka (Cañete);128111;5;3;2;150.0
Biobío;Servicio de Salud Arauco;Cañete;Hospital Intercultural Kallvu Llanka (Cañete);128111;6;4;3;133.33
Biobío;Servicio de Salud Arauco;Curanilahue;Hospital Provincial Dr. Rafael Avaría (Curanilahue);128109;1;49;58;84.48
Biobío;Servicio de Salud Arauco;Curanilahue;Hospital Provincial Dr. Rafael Avaría (Curanilahue);128109;2;59;77;76.62
Biobío;Servicio de Salud Arauco;Curanilahue;Hospital Provincial Dr. Rafael Avaría (Curanilahue);128109;3;56;70;80.0
Biobío;Servicio de Salud Arauco;Curanilahue;Hospital Provincial Dr. Rafael Avaría (Curanilahue);128109;4;57;69;82.61
Biobío;Servicio de Salud Arauco;Curanilahue;Hospital Provincial Dr. Rafael Avaría (Curanilahue);128109;5;52;68;76.47
Biobío;Servicio de Salud Arauco;Curanilahue;Hospital Provincial Dr. Rafael Avaría (Curanilahue);128109;6;58;71;81.69
Biobío;Servicio de Salud Arauco;Lebu;Hospital de Lebu;128110;1;1;1;100.0
Biobío;Servicio de Salud Arauco;Lebu;Hospital de Lebu;128110;3;0;1;0.0
Biobío;Servicio de Salud Arauco;Lebu;Hospital de Lebu;128110;5;1;1;100.0
Biobío;Servicio de Salud Biobío;Laja;Hospital Comunitario de Laja;120105;3;1;1;100.0
